epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,317.655,2.34839,3.25008,1.35028,0.72799,0.20335,0.24982,0.11973,2.51423,2.43993,1.1431,0.00041351,0.00041351,0.00041351
2,614.869,2.14575,1.95671,1.18121,0.66712,0.41029,0.45956,0.23707,2.01084,1.57822,1.02816,0.000665802,0.000665802,0.000665802
3,1065.94,2.04017,1.58237,1.10372,0.57451,0.5079,0.53063,0.27361,1.88739,1.25661,0.99021,0.000753093,0.000753093,0.000753093
4,1687.55,1.8987,1.43396,1.06957,0.58938,0.55328,0.55342,0.29475,1.78262,1.25649,0.96479,0.0005075,0.0005075,0.0005075
5,2004.32,1.80247,1.35059,1.05244,0.6228,0.57304,0.55206,0.29322,1.82473,1.20319,0.97345,0.00026,0.00026,0.00026
