epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2885.82,0.8365,0.68505,1.15529,0.7897,0.79175,0.82967,0.61737,0.89491,0.68358,1.27535,0.000643101,0.000643101,0.000643101
43,2954.52,0.83612,0.68263,1.15255,0.80912,0.78839,0.82416,0.60511,0.88617,0.67894,1.2648,0.000628101,0.000628101,0.000628101
44,3022.15,0.82889,0.67804,1.14769,0.81142,0.80032,0.83738,0.62387,0.87906,0.67129,1.26258,0.000612981,0.000612981,0.000612981
45,3091.41,0.81658,0.66599,1.14808,0.79244,0.79623,0.8339,0.62151,0.88405,0.67614,1.25572,0.000597754,0.000597754,0.000597754
46,3158.99,0.81579,0.6579,1.1402,0.80426,0.79278,0.8326,0.61115,0.88157,0.66314,1.26752,0.000582435,0.000582435,0.000582435
47,3226.58,0.81629,0.64426,1.13401,0.80697,0.79626,0.84432,0.62588,0.87292,0.66389,1.25179,0.00056704,0.00056704,0.00056704
48,3295.37,0.80255,0.63906,1.13412,0.82784,0.79513,0.84591,0.62969,0.86794,0.64202,1.257,0.000551584,0.000551584,0.000551584
49,3364.26,0.79668,0.63126,1.13401,0.81693,0.79328,0.84372,0.63395,0.86696,0.63923,1.25378,0.000536081,0.000536081,0.000536081
50,3433.16,0.79636,0.61927,1.12063,0.81939,0.80228,0.84845,0.63269,0.863,0.64323,1.25194,0.000520548,0.000520548,0.000520548
51,3500.52,0.78973,0.61736,1.12546,0.84981,0.7857,0.85606,0.64173,0.87144,0.63857,1.26446,0.000505,0.000505,0.000505
52,3570.88,0.7817,0.5997,1.11899,0.85456,0.78376,0.84656,0.63875,0.85412,0.64111,1.23882,0.000489452,0.000489452,0.000489452
53,3638.42,0.77157,0.58575,1.11193,0.82684,0.80988,0.8559,0.64336,0.85729,0.63533,1.24573,0.000473919,0.000473919,0.000473919
54,3707.48,0.77441,0.59247,1.12226,0.8234,0.79851,0.84446,0.63276,0.86678,0.6379,1.25331,0.000458416,0.000458416,0.000458416
55,3774.83,0.76758,0.59326,1.11357,0.85023,0.78286,0.85126,0.64218,0.85703,0.63563,1.24536,0.00044296,0.00044296,0.00044296
56,3842.71,0.76418,0.58032,1.11036,0.83822,0.8062,0.84675,0.63806,0.86387,0.62502,1.2491,0.000427565,0.000427565,0.000427565
57,3910.08,0.7531,0.57551,1.10344,0.82848,0.82291,0.85631,0.6437,0.86805,0.62517,1.25409,0.000412246,0.000412246,0.000412246
58,3979.29,0.74677,0.56645,1.10098,0.82073,0.83157,0.85916,0.65116,0.85382,0.62296,1.24652,0.000397019,0.000397019,0.000397019
59,4048.18,0.74086,0.55342,1.101,0.81262,0.8276,0.85625,0.64891,0.85394,0.61124,1.25221,0.000381899,0.000381899,0.000381899
60,4115.53,0.73989,0.55727,1.0965,0.82092,0.81651,0.85073,0.64624,0.85159,0.60976,1.2408,0.000366899,0.000366899,0.000366899
61,4182.92,0.73565,0.54118,1.09286,0.82547,0.82431,0.8518,0.64097,0.85443,0.60913,1.25185,0.000352037,0.000352037,0.000352037
62,4251.57,0.73121,0.53863,1.09148,0.82938,0.81426,0.8508,0.64105,0.85883,0.61438,1.25821,0.000337325,0.000337325,0.000337325
63,4319.13,0.72447,0.53052,1.08608,0.83756,0.81059,0.85839,0.64882,0.85282,0.6106,1.25407,0.000322778,0.000322778,0.000322778
64,4386.29,0.71109,0.52217,1.08396,0.85403,0.80471,0.85983,0.64389,0.8495,0.61262,1.25159,0.000308412,0.000308412,0.000308412
65,4453.85,0.71219,0.52223,1.07754,0.82697,0.82222,0.84801,0.63937,0.84395,0.61637,1.2415,0.000294239,0.000294239,0.000294239
66,4521.27,0.70966,0.51771,1.07616,0.85256,0.79183,0.85399,0.64599,0.8467,0.6164,1.24373,0.000280275,0.000280275,0.000280275
67,4588.77,0.70111,0.51157,1.0725,0.84797,0.80099,0.85334,0.64615,0.84266,0.61456,1.23955,0.000266532,0.000266532,0.000266532
68,4656.02,0.69999,0.51334,1.07253,0.8541,0.79725,0.85529,0.64593,0.84683,0.6139,1.24372,0.000253024,0.000253024,0.000253024
69,4723.35,0.69141,0.50213,1.06807,0.84156,0.80977,0.8504,0.63944,0.85055,0.61271,1.25202,0.000239766,0.000239766,0.000239766
70,4790.8,0.68673,0.48875,1.06319,0.85009,0.81374,0.85218,0.64428,0.85028,0.61078,1.24783,0.000226769,0.000226769,0.000226769
71,4858.24,0.68478,0.48994,1.06231,0.8446,0.81637,0.85665,0.64814,0.84814,0.60817,1.24978,0.000214046,0.000214046,0.000214046
72,4926.95,0.68567,0.49019,1.06114,0.85103,0.79405,0.84988,0.64682,0.84008,0.59955,1.24158,0.000201611,0.000201611,0.000201611
73,4994.2,0.67841,0.48312,1.05993,0.84828,0.8186,0.85675,0.64668,0.84188,0.60079,1.24131,0.000189475,0.000189475,0.000189475
74,5061.82,0.67326,0.47628,1.05358,0.82901,0.84019,0.85908,0.64561,0.84861,0.60258,1.2471,0.000177651,0.000177651,0.000177651
75,5129.03,0.65795,0.47278,1.05349,0.83428,0.81354,0.85384,0.64865,0.84406,0.59719,1.24534,0.000166149,0.000166149,0.000166149
76,5196.58,0.66053,0.46048,1.04546,0.82806,0.82244,0.85252,0.64694,0.84187,0.60838,1.24634,0.000154982,0.000154982,0.000154982
77,5263.98,0.65564,0.46146,1.04538,0.83673,0.82202,0.85608,0.6477,0.83954,0.60538,1.23847,0.000144161,0.000144161,0.000144161
78,5331.49,0.65186,0.45863,1.04727,0.81665,0.8347,0.84919,0.6465,0.84146,0.60895,1.24272,0.000133695,0.000133695,0.000133695
